trailID,area_name,state,geolocation
10020048,Seward,Alaska,"{'lat': 60.18852, 'lng': -149.63156}"
10236086,Denali National Park,Alaska,"{'lat': 63.73049, 'lng': -148.91968}"
10267857,Seward,Alaska,"{'lat': 60.18879, 'lng': -149.631}"
10236076,Denali National Park,Alaska,"{'lat': 63.73661, 'lng': -148.915}"
10236082,Denali National Park,Alaska,"{'lat': 63.73319, 'lng': -148.89682}"
10241620,Denali National Park,Alaska,"{'lat': 63.80507, 'lng': -148.95336}"
10236080,Denali National Park,Alaska,"{'lat': 63.73056, 'lng': -148.91955}"
10236075,Denali National Park,Alaska,"{'lat': 63.73043, 'lng': -148.91922}"
10236084,Denali National Park,Alaska,"{'lat': 63.73324, 'lng': -148.89659}"
10327620,Cantwell,Alaska,"{'lat': 63.43108, 'lng': -150.31096}"
10265252,Denali National Park,Alaska,"{'lat': 63.45799, 'lng': -150.85}"
10333556,Denali National Park,Alaska,"{'lat': 63.73128, 'lng': -148.9171}"
10265251,Denali National Park,Alaska,"{'lat': 63.49541, 'lng': -150.88137}"
10393562,Healy,Alaska,"{'lat': 63.88374, 'lng': -149.26764}"
10262541,Gustavus,Alaska,"{'lat': 58.45462, 'lng': -135.88312}"
10358126,Denali National Park,Alaska,"{'lat': 63.52451, 'lng': -150.96072}"
10236078,Denali National Park,Alaska,"{'lat': 63.73334, 'lng': -148.89618}"
10343441,Denali National Park,Alaska,"{'lat': 63.73034, 'lng': -148.91945}"
10023165,Denali National Park,Alaska,"{'lat': 63.52444, 'lng': -150.96015}"
10333569,Denali National Park,Alaska,"{'lat': 63.80495, 'lng': -148.95416}"
10347459,King Salmon,Alaska,"{'lat': 58.55986, 'lng': -155.77752}"
10302108,Gustavus,Alaska,"{'lat': 58.4543, 'lng': -135.86902}"
10333558,Denali National Park,Alaska,"{'lat': 63.7315, 'lng': -148.91785}"
10513937,Kodiak,Alaska,"{'lat': 58.55626, 'lng': -155.77832}"
10333557,Denali National Park,Alaska,"{'lat': 63.73136, 'lng': -148.91762}"
10302122,Gustavus,Alaska,"{'lat': 58.46205, 'lng': -135.77323}"
10265266,Denali National Park,Alaska,"{'lat': 63.52668, 'lng': -150.96891}"
10302112,Gustavus,Alaska,"{'lat': 58.45442, 'lng': -135.88565}"
10302114,Gustavus,Alaska,"{'lat': 58.45379, 'lng': -135.88686}"
10187810,Grand Canyon,Arizona,"{'lat': 36.05735, 'lng': -112.14381}"
10016964,Grand Canyon,Arizona,"{'lat': 36.05346, 'lng': -112.08361}"
10237812,Grand Canyon,Arizona,"{'lat': 36.05701, 'lng': -112.14414}"
10245012,Grand Canyon,Arizona,"{'lat': 36.05344, 'lng': -112.08364}"
10265905,Grand Canyon,Arizona,"{'lat': 36.05309, 'lng': -112.08387}"
10266148,Grand Canyon,Arizona,"{'lat': 36.05723, 'lng': -112.14378}"
10094721,North Rim,Arizona,"{'lat': 36.21692, 'lng': -112.05678}"
10026816,Grand Canyon,Arizona,"{'lat': 36.03496, 'lng': -112.06924}"
10235665,Grand Canyon,Arizona,"{'lat': 36.05681, 'lng': -112.14201}"
10266521,Grand Canyon,Arizona,"{'lat': 36.05356, 'lng': -112.08336}"
10016127,Grand Canyon,Arizona,"{'lat': 36.05264, 'lng': -112.08368}"
10034910,Tucson,Arizona,"{'lat': 32.23512, 'lng': -110.68683}"
10337353,Grand Canyon,Arizona,"{'lat': 36.05706, 'lng': -112.14428}"
10013850,North Rim,Arizona,"{'lat': 36.19703, 'lng': -112.05258}"
10031380,Tucson,Arizona,"{'lat': 32.24669, 'lng': -111.16708}"
10304374,Grand Canyon,Arizona,"{'lat': 36.05745, 'lng': -112.14434}"
10236025,Holbrook,Arizona,"{'lat': 34.93947, 'lng': -109.75639}"
10013966,Tucson,Arizona,"{'lat': 32.24717, 'lng': -111.16717}"
10004120,Grand Canyon,Arizona,"{'lat': 35.99805, 'lng': -111.98775}"
10006500,Grand Canyon,Arizona,"{'lat': 36.06193, 'lng': -112.21112}"
10259347,Grand Canyon,Arizona,"{'lat': 35.99809, 'lng': -111.98778}"
10041313,North Rim,Arizona,"{'lat': 36.21687, 'lng': -112.05678}"
10244240,Tucson,Arizona,"{'lat': 32.28866, 'lng': -111.12114}"
10111405,Tucson,Arizona,"{'lat': 32.23518, 'lng': -110.68682}"
10286650,Grand Canyon,Arizona,"{'lat': 36.05298, 'lng': -112.0839}"
10031336,Grand Canyon,Arizona,"{'lat': 36.22375, 'lng': -112.06506}"
10031337,North Rim,Arizona,"{'lat': 36.19695, 'lng': -112.05287}"
10304469,Grand Canyon,Arizona,"{'lat': 36.06045, 'lng': -112.10861}"
10273263,Grand Canyon,Arizona,"{'lat': 36.05742, 'lng': -112.14421}"
10000811,North Rim,Arizona,"{'lat': 36.12234, 'lng': -111.94949}"
10009957,North Rim,Arizona,"{'lat': 36.21689, 'lng': -112.05678}"
10006953,Tucson,Arizona,"{'lat': 32.16559, 'lng': -110.7238}"
10297089,Grand Canyon,Arizona,"{'lat': 36.07836, 'lng': -112.12709}"
10040243,North Rim,Arizona,"{'lat': 36.21704, 'lng': -112.05675}"
10026822,North Rim,Arizona,"{'lat': 36.14579, 'lng': -111.9355}"
10242023,Tucson,Arizona,"{'lat': 32.2207, 'lng': -110.72608}"
10255289,North Rim,Arizona,"{'lat': 36.10656, 'lng': -112.09423}"
10004435,Tucson,Arizona,"{'lat': 32.27146, 'lng': -111.20301}"
10258667,North Rim,Arizona,"{'lat': 36.21724, 'lng': -112.05655}"
10236026,Petrified Forest National Park,Arizona,"{'lat': 34.86326, 'lng': -109.79239}"
10258648,Grand Canyon,Arizona,"{'lat': 36.06065, 'lng': -112.21219}"
10257085,Grand Canyon,Arizona,"{'lat': 36.05299, 'lng': -112.08351}"
10236022,Chambers,Arizona,"{'lat': 35.080330000000004, 'lng': -109.78349}"
10018269,Chambers,Arizona,"{'lat': 35.06032, 'lng': -109.78196}"
10265749,Grand Canyon,Arizona,"{'lat': 36.0575, 'lng': -112.14411}"
10315767,Grand Canyon,Arizona,"{'lat': 36.05348, 'lng': -112.08359}"
10023828,Cameron,Arizona,"{'lat': 35.85497, 'lng': -111.42506}"
10112001,Tucson,Arizona,"{'lat': 32.35403, 'lng': -111.14143}"
10042232,Grand Canyon,Arizona,"{'lat': 36.4347, 'lng': -112.42932}"
10365390,North Rim,Arizona,"{'lat': 36.21704, 'lng': -112.05675}"
10267208,Tucson,Arizona,"{'lat': 32.24761, 'lng': -111.16714}"
10293249,Tucson,Arizona,"{'lat': 32.2351, 'lng': -110.68694}"
10258317,Grand Canyon,Arizona,"{'lat': 36.05711, 'lng': -112.14443}"
10002324,Grand Canyon,Arizona,"{'lat': 36.04123, 'lng': -111.82692}"
10274527,North Rim,Arizona,"{'lat': 36.21714, 'lng': -112.05658}"
10009628,North Rim,Arizona,"{'lat': 36.21729, 'lng': -112.05643}"
10009444,Grand Canyon,Arizona,"{'lat': 36.06043, 'lng': -112.2125}"
10251377,Holbrook,Arizona,"{'lat': 34.81544, 'lng': -109.86552}"
10042018,Chambers,Arizona,"{'lat': 35.0837, 'lng': -109.78904}"
10331092,North Rim,Arizona,"{'lat': 36.21699, 'lng': -112.05666}"
10002217,Tucson,Arizona,"{'lat': 32.27698, 'lng': -111.1977}"
