trailID,trailName,length,elevation_feet,difficulty,routeType,reviews,parkID
10020048,Harding Ice Field Trail,15610.598,1161.8976,5,out and back,423,1
10267857,Exit Glacier Trail,2896.812,81.9912,1,out and back,224,1
10236086,Mount Healy Overlook Trail,6920.162,507.7968,3,out and back,260,2
10236076,Horseshoe Lake Trail,3379.614,119.7864,1,loop,237,2
10236082,Triple Lakes Trail,29772.79,1124.712,5,out and back,110,2
10241620,Bison Gulch,11265.38,1178.9664,5,out and back,43,2
10236080,Rock Creek Trail,7081.096,287.7312,3,out and back,39,2
10236075,Taiga Trail,2574.944,62.7888,3,loop,27,2
10236084,McKinley Station Trail,4667.086,113.9952,1,loop,21,2
10327620,Mount Thorofare Ridge Loop,6598.294,507.7968,5,loop,5,2
10265252,McKinley Bar Trail,7402.964,295.9608,1,out and back,17,2
10333556,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,4828.02,158.8008,3,loop,15,2
10265251,Blueberry Hill Trail,1448.406,46.9392,3,out and back,6,2
10393562,Stampede Trail to Sushana River,61476.788,1292.9616,5,out and back,3,2
10358126,Camp Ridge Trail,6759.228,538.8864,5,out and back,8,2
10236078,Jonesville Trail,1448.406,52.7304,1,out and back,11,2
10343441,Roadside Trail,5471.756,214.884,1,out and back,13,2
10023165,Quigley Ridge Trail,14644.994,730.9104,3,out and back,5,2
10333569,Bison Gulch to Denali Visitors Center,15771.532,1385.9256,5,point to point,5,2
10333558,McKinley Station and Morino Loop Trail,1448.406,33.8328,3,loop,4,2
10333557,Spruce Tree Trail,643.736,23.7744,1,loop,6,2
10265266,Eldorado Creek Trail,13679.39,397.764,3,out and back,0,2
10262541,Bartlett Cove Forest Loop Trail,1770.274,33.8328,1,loop,14,3
10302108,Bartlett River Trail,11104.446,266.7,1,out and back,7,3
10302122,Bartlet Lake Trail,9495.106,141.732,1,out and back,4,3
10302112,Tlingit Trail,1770.274,19.812,1,out and back,4,3
10302114,Point Gustavus,20116.75,117.9576,3,out and back,2,3
10347459,Brooks Falls,4667.086,63.7032,1,out and back,4,4
10513937,Dumpling Mountain,4828.02,225.8568,3,out and back,5,4
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,28485.318,1525.8288,5,out and back,670,5
10016964,South Kaibab Trail to Cedar Ridge,4988.954,358.7496,3,out and back,489,5
10237812,Three-Mile Resthouse via Bright Angel Trail,8690.436,635.8128,5,out and back,454,5
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",26875.978,1400.8608,5,point to point,519,5
10265905,South Kaibab Trail to Ooh Aah Point,2896.812,210.9216,3,out and back,455,5
10266148,Grand Canyon Rim Trail,8690.436,106.9848,1,out and back,342,5
10094721,Rim-to-Rim: North Kaibab to Grand Canyon Village,34761.744,1614.8304,5,point to point,217,5
10026816,Shoshone Point Trail,3379.614,45.72,1,out and back,224,5
10235665,Plateau Point Trail via Bright Angel Trail,19633.948,961.9488,5,out and back,262,5
10266521,South Kaibab Trail to Skeleton Point,8690.436,602.8944,5,out and back,229,5
10016127,Grand Canyon West Rim Trail,20599.552,169.7736,1,point to point,158,5
10337353,1.5 Mile Resthouse via Bright Angel Trail,4667.086,349.9104,3,out and back,238,5
10013850,Bright Angel Point Trail,1448.406,43.8912,1,out and back,142,5
10304374,Indian Garden via Bright Angel Trail,13196.588,896.7216,5,out and back,61,5
10004120,Grandview Trail Loop,18668.344,1188.72,7,loop,62,5
10006500,Hermit Trail,24783.836,1567.8912,5,out and back,88,5
10259347,Grandview Point to Horseshoe Mesa Trail,8851.37,726.948,3,out and back,97,5
10041313,North Kaibab Trail to Roaring Springs,13518.456,1071.9816,5,out and back,80,5
10286650,South Kaibab Trail to Phantom Ranch,21565.156,1496.8728,5,out and back,73,5
10031336,Widforss Trail,14644.994,315.7728,3,out and back,100,5
10031337,Transept Trail,4667.086,85.9536,3,out and back,85,5
10304469,Yavapai Point via Rim Trail,2574.944,24.9936,1,out and back,52,5
10273263,Bright Angel Trail: South Rim to Phantom Ranch,28968.12,1518.8184,5,out and back,39,5
10000811,Cape Royal Trail,1609.34,19.812,1,out and back,54,5
10009957,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,31060.262,1666.9512,7,point to point,38,5
10297089,Rim to Rim Trail Segment: Indian Garden to Colorado River,9656.04,429.768,7,out and back,61,5
10040243,North Kaibab Trail to Colorado River,45061.52,2092.7568,7,out and back,45,5
10026822,Cape Final,6437.36,150.876,1,out and back,76,5
